id,categoria,nombre,precio_usd,precio_texto,url_producto,imagen_150_url,imagen_800_url,archivo_imagen,estado_revision
SAM-001,Ramen Sin Picante,Ramen Pollo Huevo Camaron,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-pollo-huevo-camaron,https://assets.olaclick.app/companies/products/images/150/80de0e5d-4d8d-4b64-a97f-c34c0c20fbae.webp,https://assets.olaclick.app/companies/products/images/800/80de0e5d-4d8d-4b64-a97f-c34c0c20fbae.webp,imagenes/SAM-001_ramen-pollo-huevo-camaron.webp,OK
SAM-002,Ramen Sin Picante,Ramen Cerdo,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-cerdo,https://assets.olaclick.app/companies/products/images/150/5cb82cf9-83fb-4843-9865-b068f8267744.webp,https://assets.olaclick.app/companies/products/images/800/5cb82cf9-83fb-4843-9865-b068f8267744.webp,imagenes/SAM-002_ramen-cerdo.webp,OK
SAM-003,Ramen Sin Picante,Ramen Cordero,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-cordero,https://assets.olaclick.app/companies/products/images/150/9d65a5c0-2fa1-43ab-ac4f-42a29038c10b.webp,https://assets.olaclick.app/companies/products/images/800/9d65a5c0-2fa1-43ab-ac4f-42a29038c10b.webp,imagenes/SAM-003_ramen-cordero.webp,OK
SAM-004,Ramen Sin Picante,Ramen Carne Tomate,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-carne-tomate,https://assets.olaclick.app/companies/products/images/150/01cde8f0-c5e0-4677-94b1-787cba4d1737.webp,https://assets.olaclick.app/companies/products/images/800/01cde8f0-c5e0-4677-94b1-787cba4d1737.webp,imagenes/SAM-004_ramen-carne-tomate.webp,OK
SAM-005,Ramen Sin Picante,Ramen Pollo Champinon,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-pollo-champinon,https://assets.olaclick.app/companies/products/images/150/cc4928a8-97d8-4e18-accd-4d4eb0b366a9.webp,https://assets.olaclick.app/companies/products/images/800/cc4928a8-97d8-4e18-accd-4d4eb0b366a9.webp,imagenes/SAM-005_ramen-pollo-champinon.webp,OK
SAM-006,Ramen Sin Picante,Ramen Saludable Vegetales,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-saludable-vegetales,https://assets.olaclick.app/companies/products/images/150/bc40573d-303a-41e7-988e-db7dfc93adad.webp,https://assets.olaclick.app/companies/products/images/800/bc40573d-303a-41e7-988e-db7dfc93adad.webp,imagenes/SAM-006_ramen-saludable-vegetales.webp,OK
SAM-007,Ramen Sin Picante,Ramen Cerdo,2.95,US$ 2.95,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-cerdo-kw5h,https://assets.olaclick.app/companies/products/images/150/0fffd66f-6701-4858-a5bd-7cdf219be5d8.webp,https://assets.olaclick.app/companies/products/images/800/0fffd66f-6701-4858-a5bd-7cdf219be5d8.webp,imagenes/SAM-007_ramen-cerdo.webp,OK
SAM-008,Ramen Sin Picante,Ramen Pollo fideo de arroz,3.5,US$ 3.50,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-pollo-fideo-de-arroz,https://assets.olaclick.app/companies/products/images/150/8f670de1-9217-4458-9f5d-bc60c3d4e9de.webp,https://assets.olaclick.app/companies/products/images/800/8f670de1-9217-4458-9f5d-bc60c3d4e9de.webp,imagenes/SAM-008_ramen-pollo-fideo-de-arroz.webp,OK
SAM-009,Ramen Sin Picante,Kit de Preparacion,1.5,US$ 1.50,https://sam-venezuela.ola.click/ramen-sin-picante/kit-de-preparacion-htkp,https://assets.olaclick.app/companies/products/images/150/1291fb4d-54ce-44b2-b785-e55b7564edc2.webp,https://assets.olaclick.app/companies/products/images/800/1291fb4d-54ce-44b2-b785-e55b7564edc2.webp,imagenes/SAM-009_kit-de-preparacion.webp,OK
SAM-010,Ramen Sin Picante,Ramen Doll Pollo,2.0,US$ 2.00,https://sam-venezuela.ola.click/ramen-sin-picante/ramen-doll-pollo,https://assets.olaclick.app/companies/products/images/150/53684856-3243-46ee-9889-f63087191bb3.webp,https://assets.olaclick.app/companies/products/images/800/53684856-3243-46ee-9889-f63087191bb3.webp,imagenes/SAM-010_ramen-doll-pollo.webp,OK
